table.field A	table.field B	range difference score
tss_calendars_d.created_by	tss_service_levels_d_v.bl_service_level_key	1.999999800484715	
tss_calendars_d.last_updated_by	tss_service_levels_d_v.bl_service_level_key	1.999999800484715	
tss_service_levels_d_v.bl_service_level_key	tss_workgroups_d.wkg_mgr_resource_id	1.9999984213103195	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.sdp_service_level_incl	1.9999983710981262	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.service_level_id	1.9999792434114716	
tss_calendars_d.created_by	tss_workgroups_d.sub_region_key	1.999977835573068	
tss_calendars_d.last_updated_by	tss_workgroups_d.sub_region_key	1.999977835573068	
tss_calendars_d.created_by	tss_workgroups_d.bl_workgroup_key	1.999977835573068	
tss_calendars_d.last_updated_by	tss_workgroups_d.bl_workgroup_key	1.999977835573068	
tss_calendars_d.created_by	tss_workgroups_d.theater_key	1.999977835573068	
tss_calendars_d.last_updated_by	tss_workgroups_d.theater_key	1.999977835573068	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.bl_service_level_key	1.9999357131505167	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.bl_service_level_key	1.9999357131505167	
tss_calendars_d.bl_calendar_key	tss_workgroups_d.tech_id	1.9999348863275384	
tss_service_levels_d_v.bl_service_level_key	tss_workgroups_d.last_updated_by	1.999925594964616	
tss_calendars_d.fiscal_week_id	tss_service_levels_d_v.bl_service_level_key	1.9999216529355963	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.svo_reaction_hour_number	1.9998661257770918	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.reaction_hour_number	1.999816100791202	
tss_service_levels_d_v.bl_service_level_key	tss_workgroups_d.created_by	1.9997868959691303	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.service_region_id	1.9995358166496864	
tss_calendars_d.fiscal_month_id	tss_service_levels_d_v.bl_service_level_key	1.9992167893395725	
tss_calendars_d.calendar_month_id	tss_service_levels_d_v.bl_service_level_key	1.9992166971785927	
tss_service_levels_d_v.bl_service_level_key	tss_workgroups_d.workgroup_id	1.9989198037219638	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.business_process_id	1.9983339262050899	
tss_service_levels_d_v.sdp_service_level_incl	tss_workgroups_d.sub_region_key	1.9976478058513463	
tss_calendars_d.bl_load_id	tss_workgroups_d.sub_region_key	1.9976478058513463	
tss_service_levels_d_v.sdp_service_level_incl	tss_workgroups_d.bl_workgroup_key	1.9976478058513463	
tss_calendars_d.bl_load_id	tss_workgroups_d.bl_workgroup_key	1.9976478058513463	
tss_service_levels_d_v.sdp_service_level_incl	tss_workgroups_d.theater_key	1.9976478058513463	
tss_calendars_d.bl_load_id	tss_workgroups_d.theater_key	1.9976478058513463	
tss_service_levels_d_v.bl_service_level_key	tss_workgroups_d.bl_load_id	1.9943048958171037	
tss_calendars_d.bl_calendar_key	tss_workgroups_d.sub_region_key	1.9915300378819338	
tss_calendars_d.bl_calendar_key	tss_workgroups_d.theater_key	1.9915300378819338	
tss_calendars_d.bl_calendar_key	tss_workgroups_d.bl_workgroup_key	1.9915300378819338	
tss_calendars_d.bl_calendar_key	tss_workgroups_d.sub_region_key	1.9915300378819338	
tss_calendars_d.bl_calendar_key	tss_workgroups_d.bl_workgroup_key	1.9915300378819338	
tss_calendars_d.bl_calendar_key	tss_workgroups_d.theater_key	1.9915300378819338	
